country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Dominican Republic,DO,DOM,214,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,14.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Ecuador,EC,ECU,218,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,7.8,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Ecuador,EC,ECU,218,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,6.5,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Ecuador,EC,ECU,218,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,6.9,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Egypt,EG,EGY,818,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,19.4,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Egypt,EG,EGY,818,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,10.1,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Egypt,EG,EGY,818,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,11.3,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
El Salvador,SV,SLV,222,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,13.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
El Salvador,SV,SLV,222,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,7.4,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
El Salvador,SV,SLV,222,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,9.2,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Estonia,EE,EST,233,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,33.2,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Swaziland,SZ,SWZ,748,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,53.7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Swaziland,SZ,SWZ,748,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,47.3,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Swaziland,SZ,SWZ,748,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,50.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Ethiopia,ET,ETH,231,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,5.5,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Ethiopia,ET,ETH,231,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,2.9,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Ethiopia,ET,ETH,231,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,4.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Fiji,FJ,FJI,242,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,31.5,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Fiji,FJ,FJI,242,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,16.2,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Fiji,FJ,FJI,242,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,20.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Finland,FI,FIN,246,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,27,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Finland,FI,FIN,246,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,26.2,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
